market,outcome,size,entry_price,current_price,pnl,pnl_pct,end_date
"Will the price of Bitcoin be above $90,000 on January 20?",No,43877.3249,0.0658,0,-2890.5065,-99.9999,2026-01-20
"Will the price of Bitcoin be above $90,000 on January 11?",No,37324.0124,0.0989,0,-3693.6962,-99.9999,2026-01-11
"Will the price of Bitcoin be above $90,000 on January 27?",No,29077.1052,0.8247,0.915,2623.8307,10.9409,2026-01-27
Ethereum Up or Down on January 4?,Down,26828.5469,0.152,0,-4078.9586,-99.9999,2026-01-04
"Will the price of Bitcoin be above $90,000 on January 23?",No,22011.6715,0.8562,0,-18848.022,-99.9999,2026-01-23
"Will the price of Ethereum be above $3,100 on January 11?",No,18430.6242,0.4143,0,-7636.9134,-99.9999,2026-01-11
Bitcoin Up or Down on January 25?,Up,17899.297,0.1912,0,-3423.1331,-99.9999,2026-01-25
"Will the price of Bitcoin be above $90,000 on January 8?",No,16161.7064,0.2637,0,-4263.345,-99.9999,2026-01-08
Bitcoin Up or Down on January 11?,Down,15890.5248,0.4694,0,-7459.2348,-99.9999,2026-01-11
"Will the price of Bitcoin be above $86,000 on January 9?",No,15115.8829,0.0319,0,-482.9978,-99.9999,2026-01-09
"Will the price of Bitcoin be above $86,000 on January 20?",No,13014.9121,0.0113,0,-147.3418,-99.9999,2026-01-20
Bitcoin Up or Down on January 20?,Up,12525.0109,0.2775,0,-3476.8052,-99.9999,2026-01-20
Ethereum Up or Down on January 5?,Down,11989.5841,0.2742,0,-3287.9636,-99.9999,2026-01-05
"Will the price of Bitcoin be above $86,000 on January 30?",Yes,11176.8559,0.7098,0.805,1063.1312,13.3992,2026-01-30
"Will the price of Bitcoin be above $86,000 on January 2?",No,10582.1884,0.0247,0,-262.3536,-99.9999,2026-01-02
Will the price of Solana be above $130 on December 28?,Yes,10528.5015,0.104,0,-1095.5011,-99.9999,2025-12-28
"Will the price of Bitcoin be above $90,000 on January 27?",Yes,10397.1327,0.121,0.085,-374.432,-29.7596,2026-01-27
"Will the price of Ethereum be above $2,700 on January 30?",Yes,9865.8179,0.7404,0.94,1968.5956,26.9475,2026-01-30
"Will the price of Bitcoin be above $86,000 on January 27?",No,9707.4805,0.0348,0.029,-56.3907,-16.6881,2026-01-27
"Will the price of Bitcoin be above $86,000 on January 12?",No,9235.0451,0.0586,0,-541.5799,-99.9999,2026-01-12
"Will the price of Bitcoin be above $86,000 on January 18?",No,9207.9015,0.0649,0,-598.2005,-99.9999,2026-01-18
"Will the price of Bitcoin be above $86,000 on January 31?",Yes,9001.5538,0.6015,0.795,1741.2875,32.157,2026-01-31
"Will the price of Bitcoin be above $86,000 on January 13?",No,8395.2708,0.0276,0,-231.8102,-99.9999,2026-01-13
"Will the price of Bitcoin be above $86,000 on January 28?",Yes,8357.8949,0.7564,0.905,1241.6404,19.6392,2026-01-28
"Will the price of Bitcoin be above $80,000 on December 29?",No,8266.1495,0.0293,0,-242.2147,-99.9999,2025-12-29
"Will the price of Ethereum be above $2,700 on January 26?",No,8077.1734,0.026,0,-210.0468,-99.9999,2026-01-26
"Will the price of Bitcoin be above $80,000 on December 27?",No,7827.922,0.0228,0,-178.8993,-99.9999,2025-12-27
"Will the price of Bitcoin be above $80,000 on December 28?",No,7640.4231,0.0261,0,-200.095,-99.9999,2025-12-28
"Will the price of Bitcoin be above $86,000 on February 1?",Yes,7478.7548,0.5947,0.775,1348.3521,30.3158,2026-02-01
Will the price of XRP be between $1.80 and $1.90 on December 30?,No,7304.0645,0.2105,0,-1537.5494,-99.9999,2025-12-30
"Will the price of Bitcoin be above $86,000 on January 29?",Yes,7295.5472,0.6971,0.85,1115.0586,21.9234,2026-01-29
Will the price of XRP be between $1.80 and $1.90 on December 31?,No,7151.3368,0.1603,0,-1146.5595,-99.9999,2025-12-31
Will the price of Solana be above $100 on December 22?,No,7000,0.0205,0,-143.5,-100,2025-12-22
Will the price of Solana be above $130 on December 27?,Yes,6991.72,0.0903,0,-631.7298,-99.9999,2025-12-27
"Will the price of Bitcoin be above $80,000 on January 27?",No,6689.0516,0.0391,0.0005,-258.291,-98.7216,2026-01-27
"Will the price of Ethereum be above $2,700 on December 28?",No,6649.439,0.0587,0,-390.3752,-99.9999,2025-12-28
Will the price of Solana be above $100 on January 30?,No,6422.7463,0.0152,0.014,-7.8036,-7.9855,2026-01-30
"Will the price of Bitcoin be above $90,000 on January 18?",No,6299.0536,0.0609,0,-383.795,-99.9999,2026-01-18
Will the price of XRP be between $1.90 and $2.00 on January 20?,No,6102.4824,0.6346,0,-3872.9038,-99.9999,2026-01-20
"Will the price of Bitcoin be above $96,000 on January 7?",Yes,5925.5152,0.033,0,-196.1108,-99.9999,2026-01-07
"Will the price of Bitcoin be above $80,000 on January 9?",No,5887.1284,0.007,0,-41.2098,-99.9997,2026-01-09
"Will the price of Bitcoin be above $96,000 on January 13?",Yes,5776.2787,0.0256,0,-147.9593,-99.9999,2026-01-13
"Will the price of Bitcoin be above $80,000 on February 1?",No,5632.3512,0.0409,0.0165,-137.7899,-59.7207,2026-02-01
Will the price of XRP be between $1.90 and $2.00 on December 24?,Yes,5592.6201,0.32,0,-1789.6384,-99.9999,2025-12-24
"Will the price of Ethereum be above $3,100 on January 27?",No,5547.0198,0.8815,0.991,607.1046,12.4152,2026-01-27
"Will the price of Bitcoin be above $96,000 on January 25?",Yes,5411.8041,0.2786,0,-1508.0695,-99.9999,2026-01-25
"Will the price of Bitcoin be above $80,000 on December 22?",No,5221.1006,0.0484,0,-252.9362,-99.9999,2025-12-22
Will the price of XRP be between $2.00 and $2.10 on January 13?,Yes,5165.9,0.8098,0,-4183.7797,-99.9999,2026-01-13
Will the price of XRP be between $1.80 and $1.90 on January 21?,No,5065.8776,0.7841,0,-3972.4332,-99.9999,2026-01-21
"Will the price of Bitcoin be above $76,000 on December 22?",No,5000,0.032,0,-160,-100,2025-12-22
Will the price of Solana be above $130 on January 27?,No,4905.1411,0.8641,0.9865,600.296,14.1625,2026-01-27
"Will the price of Bitcoin be above $96,000 on February 1?",Yes,4840.4487,0.0235,0.0375,67.7468,59.5472,2026-02-01
"Will the price of Ethereum be above $2,700 on February 1?",No,4812.24,0.0799,0.095,72.2172,18.7603,2026-02-01
"Will the price of Ethereum be above $2,700 on January 31?",No,4569.84,0.0603,0.08,89.9207,32.6193,2026-01-31
